,concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,Include?
3,4264446,From initial search,Refractory anemia with excess blasts I,Observation,SNOMED,S,y
4,36568184,From initial search,Refractory anemia with excess blasts in transformation of bone marrow,Condition,ICDO3,S,y
6,4028717,From initial search,Refractory anemia,Observation,SNOMED,S,y
7,4028718,From initial search,Refractory anemia with excess blasts,Observation,SNOMED,S,y
8,4044728,From initial search,Thiamine-responsive megaloblastic anemia,Condition,SNOMED,S,y
9,4032006,From initial search,Dimorphic anemia,Condition,SNOMED,S,y
13,40478891,From initial search,Erythropoietin resistance in anemia of chronic kidney disease,Condition,SNOMED,S,y
15,432588,From initial search,Megaloblastic anemia due to vitamin B-12 deficiency,Condition,SNOMED,S,y
17,4184603,From initial search,Megaloblastic anemia due to Zollinger-Ellison syndrome,Condition,SNOMED,S,y
18,4114026,From initial search,Normocytic anemia,Condition,SNOMED,S,y
19,4146936,From initial search,Drug-induced autoimmune hemolytic anemia,Condition,SNOMED,S,y
21,2108514,From initial search,FACC (Fanconi anemia) (Deprecated),Observation,CPT4,S,y
22,42868770,From initial search,ESRD anemia management panel,Observation,LOINC,S,y
23,605330,From initial search,Restless leg syndrome due to iron deficiency anemia,Condition,SNOMED,S,y
24,4009785,From initial search,Anemia due to membrane defect,Condition,SNOMED,S,y
25,4009306,From initial search,Anemia due to copper deficiency,Condition,SNOMED,S,y
32,37398911,From initial search,Anemia in chronic kidney disease stage 4,Condition,SNOMED,S,y
33,45768812,From initial search,Anemia in chronic kidney disease,Condition,SNOMED,S,y
37,36716029,From initial search,"Hyperuricemia, anemia, renal failure syndrome",Condition,SNOMED,S,y
45,4100998,From initial search,Aplastic anemia due to toxic cause,Condition,SNOMED,S,y
49,4099508,From initial search,"Refractory anemia without sideroblasts, so stated",Condition,SNOMED,S,y
50,4218100,From initial search,Hemolytic anemia due to drugs,Condition,SNOMED,S,y
51,432295,From initial search,Pernicious anemia,Condition,SNOMED,S,y
52,440977,From initial search,Megaloblastic anemia due to folate deficiency,Condition,SNOMED,S,y
57,4122924,From initial search,Anemia of renal disease,Condition,SNOMED,S,y
58,4121106,From initial search,Microcytic anemia,Condition,SNOMED,S,y
64,36553657,From initial search,"Refractory anemia with excess blasts in transformation of hematopoietic system, NOS",Condition,ICDO3,S,y
65,4131915,From initial search,Primary (idiopathic) autoimmune hemolytic anemia,Condition,SNOMED,S,y
66,4131919,From initial search,"Drug-induced immune hemolytic anemia, hapten type",Condition,SNOMED,S,y
67,4187768,From initial search,Anemia due to blood loss,Condition,SNOMED,S,y
68,4186108,From initial search,Aplastic anemia associated with metabolic alteration,Condition,SNOMED,S,y
70,4312008,From initial search,Anemia due to substance,Condition,SNOMED,S,y
72,4263315,From initial search,Normocytic normochromic anemia,Condition,SNOMED,S,y
75,4122079,From initial search,"Deficiency anemias, excluding iron",Condition,SNOMED,S,y
78,4006468,From initial search,Anemia due to physical agent,Condition,SNOMED,S,y
84,4284415,From initial search,Megaloblastic anemia due to increased requirements,Condition,SNOMED,S,y
86,37395652,From initial search,Anemia in chronic kidney disease stage 5,Condition,SNOMED,S,y
91,4098740,From initial search,Vitamin B12 deficiency anemia due to malabsorption with proteinuria,Condition,SNOMED,S,y
92,4098019,From initial search,Toxic hemolytic anemia,Condition,SNOMED,S,y
95,4101582,From initial search,Aplastic anemia due to chronic disease,Condition,SNOMED,S,y
96,4098760,From initial search,Transient hypoplastic anemia,Condition,SNOMED,S,y
97,4101000,From initial search,Secondary sideroblastic anemia due to drugs and toxins,Condition,SNOMED,S,y
103,1340246,From initial search,Exacerbation of anemia,Condition,OMOP Extension,S,y
108,4092893,From initial search,Anemia due to vitamin E deficiency,Condition,SNOMED,S,y
112,136949,From initial search,Refractory anemia with excess blasts (clinical),Condition,SNOMED,S,y
121,4116343,From initial search,Normocytic anemia following acute bleed,Condition,SNOMED,S,y
123,2108515,From initial search,FACD (Fanconi anemia) (Deprecated),Observation,CPT4,S,y
127,607426,From initial search,Vitamin B12 deficiency anemia due to chronic atrophic gastritis,Condition,SNOMED,S,y
128,4019001,From initial search,Regenerative anemia,Condition,SNOMED,S,y
130,4244129,From initial search,Anemia due to decreased red cell production,Condition,SNOMED,S,y
